filename,captions
rsicd_images/airport_1.jpg,"['Many aircraft are parked next to a long building in an airport.'
 'Many planes are parked next to a long building at an airport.'
 'Many planes are parked next to a long building in an airport.'
 'many planes are parked next to a long building at an airport.'
 'many planes are parked next to a long building in an airport .']"
rsicd_images/airport_10.jpg,"['some planes are parked in an airport.'
 'the airport here is full of planes and containers.'
 'the airport here is full of airplanes and containers .'
 'Some planes are parked at an airport.'
 'some planes are parked in an airport .']"
rsicd_images/airport_100.jpg,"['Many aircraft are parked in an airport near many runways.'
 'There are a lot of the same size planes in the airport.'
 'there are many planes with same size in the airport .'
 'Many planes are parked at an airport near many runways.'
 'many planes are parked in an airport near many runways .']"
rsicd_images/airport_101.jpg,"['Many aircraft are parked near a large building on an airport.'
 'Many planes are parked near a large building at an airport.'
 'Many planes are parked near a large building on an airport.'
 'Many planes are parked near a large building at an airport.'
 'many planes are parked near a large building on an airport .']"
rsicd_images/airport_102.jpg,"['several buildings and green trees are around a piece of bare land.'
 'some planes are parked near an airport with parking.'
 'some planes are parked near an airport with parking lot .'
 'several green buildings and trees are around a piece of bare land.'
 'several buildings and green trees are around a piece of bareland .']"
rsicd_images/airport_103.jpg,"['Some green trees are near a large piece of bare land.'
 'some planes are parked near an airport with parking.'
 'some planes are parked near an airport with parking lot .'
 'Some green trees are near a large piece of bare land.'
 'some green trees are near a large piece of bareland .']"
rsicd_images/airport_104.jpg,"['Many aircraft are parked between several buildings and numerous runways.'
 'several runways are scattered in the airport while each plane is in its own position.'
 'several runways are scattered in the airport while every plane is on their own position .'
 'Many planes are parked between several buildings and many runways.'
 'many planes are parked between several buildings and many runways .']"
rsicd_images/airport_105.jpg,"['Many aircraft and buildings are located in an airport.'
 'a lot of airplanes are parked in this complex airport surrounded by farmland .'
 'Many aircraft are parked at this large airport, made up of several terminal buildings.'
 'numerous airplanes are parked at this grand airport, made up of several terminal buildings .'
 'many planes and buildings are in an airport .']"
rsicd_images/airport_106.jpg,"['is a airport in the middle and many planes in it .'
 'a silver building in the middle while with many plane besides .'
 'many black road on the either hand of the airport .'
 'many dark buildings besides the silver building while with many plane besides .'
 'many planes are parked near a large building in an airport .']"
rsicd_images/airport_107.jpg,"['Many aircraft are parked near several buildings in an airport.'
 'Many planes are parked near several buildings at an airport.'
 'Many planes are parked near several buildings in an airport.'
 'many planes are parked near several buildings at an airport.'
 'many planes are parked near several buildings in an airport .']"
